Date,P/E,P/B,Div Yield
2022-01-03,18.03,4.47,2.71
2022-01-04,18.21,4.52,2.68
2022-01-05,18.14,4.5,2.69
2022-01-06,17.94,4.45,2.72
2022-01-07,18.05,4.48,2.71
2022-01-10,18.23,4.52,2.68
2022-01-11,18.28,4.54,2.67
2022-01-12,18.36,4.55,2.66
2022-01-13,18.46,4.58,2.65
2022-01-14,18.44,4.59,2.62
2022-01-17,18.55,4.62,2.6
2022-01-18,18.28,4.55,2.64
2022-01-19,18.1,4.5,2.7
2022-01-20,17.9,4.45,2.78
2022-01-21,17.75,4.41,2.79
2022-01-24,17.25,4.29,2.86
2022-01-25,17.28,4.32,2.84
2022-01-27,16.98,4.25,2.89
2022-01-28,17.04,4.26,2.88
2022-01-31,17.29,4.33,2.84
2022-02-01,17.58,4.41,2.78
2022-02-02,17.58,4.45,2.76
2022-02-03,17.34,4.39,2.88
2022-02-04,17.34,4.39,2.88
2022-02-07,17.07,4.33,2.92
2022-02-08,17.04,4.33,2.92
2022-02-09,17.18,4.36,2.86
2022-02-10,17.32,4.4,2.86
2022-02-11,17.07,4.33,2.84
2022-02-14,16.5,4.22,3.12
2022-02-15,16.68,4.33,3.0
2022-02-16,16.54,4.33,3.09
2022-02-17,16.53,4.32,2.99
2022-02-18,16.51,4.32,3.0
2022-02-21,16.36,4.28,3.14
2022-02-22,16.18,4.23,2.97
2022-02-23,16.13,4.22,2.98
2022-02-24,15.44,4.04,3.12
2022-02-25,15.8,4.13,3.04
2022-02-28,16.06,4.2,2.99
2022-03-02,16.0,4.18,3.01
2022-03-03,16.09,4.21,2.99
2022-03-04,15.94,4.17,3.02
2022-03-07,15.9,4.16,3.02
2022-03-08,16.1,4.21,2.94
2022-03-09,16.25,4.25,2.91
2022-03-10,16.43,4.3,2.88
2022-03-11,16.48,4.31,2.87
2022-03-14,16.63,4.35,2.84
2022-03-15,16.34,4.27,2.85
2022-03-16,16.65,4.35,2.79
2022-03-17,16.75,4.38,2.78
2022-03-21,16.6,4.34,2.8
2022-03-22,16.81,4.4,2.77
2022-03-23,16.83,4.4,2.73
2022-03-24,16.96,4.43,2.71
2022-03-25,16.83,4.4,2.71
2022-03-28,16.87,4.41,2.7
2022-03-29,16.87,4.41,2.7
2022-03-30,16.84,4.4,2.71
2022-03-31,17.83,4.65,2.62
2022-04-01,18.0,4.7,2.59
2022-04-04,18.15,4.74,2.57
2022-04-05,18.25,4.76,2.59
2022-04-06,18.18,4.75,2.6
2022-04-07,18.01,4.7,2.62
2022-04-08,18.18,4.75,2.57
2022-04-11,18.04,4.71,2.59
2022-04-12,17.78,4.64,2.62
2022-04-13,17.83,4.66,2.61
2022-04-18,17.51,4.58,2.66
2022-04-19,17.11,4.48,2.72
2022-04-20,17.27,4.52,2.69
2022-04-21,17.47,4.57,2.66
2022-04-22,17.25,4.52,2.7
2022-04-25,16.79,4.43,2.75
2022-04-26,17.0,4.49,2.71
2022-04-27,16.88,4.46,2.73
2022-04-28,17.13,4.52,2.78
2022-04-29,16.91,4.46,2.74
2022-05-02,16.84,4.45,2.75
2022-05-04,16.61,4.39,2.79
2022-05-05,16.77,4.43,2.76
2022-05-06,16.6,4.38,2.79
2022-05-09,16.57,4.38,2.79
2022-05-10,16.45,4.34,2.82
2022-05-11,16.25,4.29,2.85
2022-05-12,16.02,4.23,2.89
2022-05-13,16.04,4.24,2.88
2022-05-16,15.98,4.23,2.89
2022-05-17,16.41,4.36,2.81
2022-05-18,16.35,4.34,2.82
