Date,P/E,P/B,Div Yield
2022-01-03,29.21,3.66,0.97
2022-01-04,29.29,3.67,0.97
2022-01-05,29.34,3.67,0.97
2022-01-06,29.37,3.68,0.96
2022-01-07,29.52,3.7,0.96
2022-01-10,29.77,3.73,0.95
2022-01-11,29.79,3.73,0.95
2022-01-12,30.17,3.78,0.94
2022-01-13,30.36,3.8,0.93
2022-01-14,30.35,3.8,0.93
2022-01-17,30.37,3.81,0.93
2022-01-18,29.75,3.73,0.95
2022-01-19,29.73,3.73,0.95
2022-01-20,29.64,3.72,0.95
2022-01-21,28.88,3.63,0.98
2022-01-24,27.75,3.49,1.02
2022-01-25,28.46,3.53,1.01
2022-01-27,28.21,3.49,1.02
2022-01-28,28.51,3.54,1.0
2022-01-31,28.75,3.6,0.98
2022-02-01,29.07,3.64,0.97
2022-02-02,29.42,3.68,0.97
2022-02-03,29.05,3.64,0.98
2022-02-04,28.61,3.62,0.97
2022-02-07,28.23,3.58,0.99
2022-02-08,27.59,3.55,0.98
2022-02-09,27.54,3.59,0.97
2022-02-10,27.72,3.6,0.99
2022-02-11,26.99,3.53,1.0
2022-02-14,25.85,3.39,1.05
2022-02-15,26.26,3.49,1.06
2022-02-16,26.27,3.48,1.06
2022-02-17,26.23,3.47,1.09
2022-02-18,25.99,3.44,1.09
2022-02-21,25.66,3.39,1.13
2022-02-22,25.4,3.36,1.15
2022-02-23,25.57,3.38,1.14
2022-02-24,24.1,3.19,1.21
2022-02-25,25.11,3.32,1.21
2022-02-28,25.35,3.35,1.2
2022-03-02,25.35,3.35,1.2
2022-03-03,25.25,3.34,1.21
2022-03-04,24.72,3.27,1.23
2022-03-07,24.13,3.19,1.25
2022-03-08,24.43,3.23,1.24
2022-03-09,24.96,3.3,1.21
2022-03-10,25.19,3.33,1.2
2022-03-11,25.34,3.35,1.21
2022-03-14,25.39,3.36,1.21
2022-03-15,25.17,3.33,1.22
2022-03-16,25.68,3.39,1.2
2022-03-17,26.03,3.44,1.18
2022-03-21,25.96,3.43,1.08
2022-03-22,26.03,3.44,1.06
2022-03-23,26.18,3.46,1.04
2022-03-24,26.33,3.48,1.05
2022-03-25,26.3,3.48,1.06
2022-03-28,26.25,3.47,1.06
2022-03-29,26.36,3.48,1.05
2022-03-30,26.58,3.51,1.04
2022-03-31,25.43,3.42,1.09
