unix,date,open,high,low,close,Volume USDT
1679875200000,2023-03-27,27968.05000000,29184.68000000,26508.14000000,28341.81000000,12632072027.95309970
1679270400000,2023-03-20,27972.87000000,28868.05000000,26601.80000000,27968.05000000,40105785082.65465400
1678665600000,2023-03-13,21998.05000000,28390.10000000,21813.88000000,27972.87000000,95305973200.80874100
1678060800000,2023-03-06,22430.24000000,22602.19000000,19549.09000000,21997.11000000,57109899451.56409940
1677456000000,2023-02-27,23554.85000000,24000.00000000,21971.13000000,22430.24000000,39224677036.71352140
1676851200000,2023-02-20,24272.51000000,25250.00000000,22722.00000000,23554.85000000,53750017281.89358780
1676246400000,2023-02-13,21782.37000000,25250.00000000,21351.07000000,24271.76000000,58739519125.70169970
1675641600000,2023-02-06,22932.91000000,23452.00000000,21451.00000000,21783.54000000,44353818613.73314100
1675036800000,2023-01-30,23743.37000000,24255.00000000,22500.00000000,22932.91000000,45526556536.27251440
1674432000000,2023-01-23,22706.02000000,23960.54000000,22300.00000000,23742.30000000,44778423206.51019510
1673827200000,2023-01-16,20872.99000000,23371.80000000,20407.15000000,22707.88000000,45622643727.57732390
1673222400000,2023-01-09,17127.83000000,21258.00000000,17104.66000000,20871.50000000,40310160794.01672060
1672617600000,2023-01-02,16617.17000000,17176.99000000,16548.70000000,17127.83000000,18710795015.11228670
1672012800000,2022-12-26,16832.11000000,16972.83000000,16333.00000000,16616.75000000,17128649384.37835310
1671408000000,2022-12-19,16739.00000000,17061.27000000,16256.30000000,16832.11000000,19261867584.50809950
1670803200000,2022-12-12,17085.05000000,18387.95000000,16527.32000000,16738.21000000,26143428661.14802860
1670198400000,2022-12-05,17106.65000000,17424.25000000,16678.83000000,17085.05000000,24639487914.90870170
1669593600000,2022-11-28,16428.77000000,17324.00000000,15995.27000000,17105.70000000,26360161543.30846560
1668988800000,2022-11-21,16279.50000000,16812.63000000,15476.00000000,16428.78000000,25506770070.36038697
1668384000000,2022-11-14,16331.78000000,17190.00000000,15815.21000000,16280.23000000,27077469872.70157980
1667779200000,2022-11-07,20905.58000000,21069.77000000,15588.00000000,16329.85000000,58481935198.61974971
1667174400000,2022-10-31,20627.48000000,21480.65000000,20031.24000000,20905.58000000,45589276905.34283550
