Ticker,Book Value,EVtoEBITDA,PricetoBook,Market Cap,PricetoSales,Close,Shares Outstanding,Revenue,ForwardPE,TrailingEPS,Promoter Holding
MAHABANK.NS,23.427,,1.2037393,19012,3.0319562,28.6,6730500096,50034632000
GRAPHITE.NS,249.237,19.755,1.3581451,6610,2.0108066,340.2,195376000,30265100000
EXIDEIND.NS,128.616,9.472,1.3831872,15121,1.0132384,182.3,850000000,127892200000
SUNTECK.NS,204.912,55.519,1.629724,4891,9.636112,341,146464000,5130756000
ANGELONE.NS,226.548,,5.1635857,9759,3.50044,1199.05,83411696,22329230000
