Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1790.199951171875,1802.550048828125,1783.199951171875,1793.199951171875,1772.9476318359375,397285
2020-01-02,1791.0,1799.9000244140625,1783.4000244140625,1790.6500244140625,1770.4266357421875,411266
2020-01-03,1779.800048828125,1779.800048828125,1747.050048828125,1751.4000244140625,1731.6197509765625,1318628
2020-01-06,1737.949951171875,1738.0,1694.0,1707.1500244140625,1687.86962890625,1871804
2020-01-07,1711.0,1740.5,1711.0,1724.4000244140625,1704.9248046875,1033650
2020-01-08,1696.0,1736.0,1695.0,1728.800048828125,1709.2750244140625,1006057
2020-01-09,1763.0,1775.0,1741.0,1772.550048828125,1752.5308837890625,1781733
2020-01-10,1772.0,1797.300048828125,1760.0,1792.550048828125,1772.3050537109375,1256612
2020-01-13,1799.0,1807.949951171875,1794.3499755859375,1804.9000244140625,1784.515625,823821
2020-01-14,1805.0,1821.6500244140625,1804.800048828125,1819.1500244140625,1798.604736328125,775629
2020-01-15,1817.5,1845.0,1810.0999755859375,1842.25,1821.44384765625,1252925
2020-01-16,1835.949951171875,1848.0,1828.75,1835.1500244140625,1814.4239501953125,1031569
2020-01-17,1835.5999755859375,1838.9000244140625,1815.0,1830.050048828125,1809.3817138671875,862204
2020-01-20,1838.0,1862.25,1833.5999755859375,1848.75,1827.870361328125,1091453
2020-01-21,1839.949951171875,1842.550048828125,1793.8499755859375,1810.75,1790.299560546875,2101561
2020-01-22,1815.0,1818.699951171875,1766.8499755859375,1779.25,1759.1553955078125,3415306
2020-01-23,1779.0,1789.0,1757.0999755859375,1776.0999755859375,1756.040771484375,1885275
2020-01-24,1783.6500244140625,1799.9000244140625,1780.25,1786.800048828125,1766.6201171875,1195596
2020-01-27,1787.0,1805.75,1780.0,1788.3499755859375,1768.1524658203125,969054
2020-01-28,1794.0,1794.0,1773.0,1779.0999755859375,1759.007080078125,873291
2020-01-29,1787.0,1803.8499755859375,1781.0,1796.949951171875,1776.6552734375,873805
2020-01-30,1800.0,1808.9000244140625,1786.0,1805.0,1784.6143798828125,1005975
2020-01-31,1810.0,1824.0,1788.699951171875,1795.6500244140625,1775.3699951171875,1169614
2020-02-03,1768.800048828125,1872.9000244140625,1765.0,1867.6500244140625,1846.556884765625,2854532
2020-02-04,1870.0,1896.75,1855.050048828125,1891.300048828125,1869.9398193359375,1830049
2020-02-05,1889.0,1890.0,1866.1500244140625,1873.5,1852.3408203125,1344016
2020-02-06,1878.0,1882.4000244140625,1845.0,1856.800048828125,1835.829345703125,995386
2020-02-07,1856.800048828125,1876.5,1850.5999755859375,1858.699951171875,1837.7078857421875,632858
2020-02-10,1867.0,1872.75,1837.199951171875,1869.5,1848.385986328125,747711
