Date,P/E,P/B,Div Yield
2022-01-03,33.15,5.05,0.61
2022-01-04,32.88,5.01,0.61
2022-01-05,32.78,4.99,0.62
2022-01-06,32.58,4.96,0.62
2022-01-07,32.45,4.94,0.62
2022-01-10,32.45,4.94,0.62
2022-01-11,32.44,4.94,0.62
2022-01-12,32.39,4.93,0.62
2022-01-13,32.9,5.01,0.61
2022-01-14,32.7,4.98,0.62
2022-01-17,32.46,4.94,0.62
2022-01-18,32.08,4.89,0.63
2022-01-19,32.04,4.88,0.63
2022-01-20,31.51,4.8,0.64
2022-01-21,31.01,4.72,0.65
2022-01-24,30.44,4.64,0.66
2022-01-25,30.58,4.67,0.66
2022-01-27,30.01,4.58,0.67
2022-01-28,30.35,4.63,0.66
2022-01-31,31.0,4.7,0.65
2022-02-01,30.61,4.81,0.64
2022-02-02,30.79,4.87,0.66
2022-02-03,30.73,4.86,0.66
2022-02-04,30.64,4.84,0.66
2022-02-07,30.2,4.77,0.67
2022-02-08,30.17,4.79,0.66
2022-02-09,30.45,4.84,0.69
2022-02-10,30.6,4.85,0.72
2022-02-11,32.89,4.82,0.7
2022-02-14,32.62,4.73,0.72
2022-02-15,32.38,4.76,0.69
2022-02-16,32.62,4.79,0.69
2022-02-17,32.37,4.75,0.69
2022-02-18,32.09,4.71,0.71
2022-02-21,31.66,4.65,0.72
2022-02-22,31.48,4.62,0.71
2022-02-23,31.53,4.63,0.71
2022-02-24,30.37,4.46,0.74
2022-02-25,31.34,4.6,0.72
2022-02-28,31.41,4.61,0.71
2022-03-02,30.83,4.53,0.73
2022-03-03,30.72,4.51,0.73
2022-03-04,30.61,4.49,0.73
2022-03-07,30.48,4.47,0.74
2022-03-08,31.21,4.58,0.72
2022-03-09,31.73,4.66,0.71
2022-03-10,31.77,4.66,0.71
2022-03-11,32.56,4.78,0.69
2022-03-14,32.44,4.76,0.69
2022-03-15,32.36,4.75,0.69
2022-03-16,32.5,4.77,0.69
2022-03-17,32.91,4.83,0.68
2022-03-21,32.92,4.83,0.68
2022-03-22,32.83,4.82,0.68
2022-03-23,32.97,4.84,0.68
