Date,P/E,P/B,Div Yield
2022-01-03,25.97,5.17,1.88
2022-01-04,26.07,5.19,1.88
2022-01-05,26.11,5.2,1.87
2022-01-06,25.97,5.17,1.88
2022-01-07,26.15,5.21,1.87
2022-01-10,26.31,5.24,1.86
2022-01-11,26.33,5.24,1.86
2022-01-12,26.42,5.26,1.85
2022-01-13,26.46,5.27,1.85
2022-01-14,26.45,5.27,1.84
2022-01-17,26.56,5.3,1.84
2022-01-18,26.09,5.21,1.87
2022-01-19,25.94,5.18,1.88
2022-01-20,25.77,5.14,1.92
2022-01-21,25.57,5.09,1.93
2022-01-24,24.95,4.97,1.98
2022-01-25,25.15,5.01,1.96
2022-01-27,24.74,4.93,1.99
2022-01-28,24.96,4.96,1.98
2022-01-31,25.28,5.03,1.95
2022-02-01,25.39,5.08,1.93
2022-02-02,25.42,5.12,1.93
2022-02-03,25.26,5.09,2.0
2022-02-04,25.15,5.07,2.01
2022-02-07,24.67,4.99,2.07
2022-02-08,24.59,4.98,2.07
2022-02-09,24.86,5.03,1.99
2022-02-10,25.08,5.04,2.02
2022-02-11,24.72,4.97,1.99
2022-02-14,24.18,4.84,2.11
2022-02-15,24.8,4.95,1.98
2022-02-16,24.67,4.96,2.01
2022-02-17,24.65,4.95,2.03
2022-02-18,24.56,4.93,2.02
2022-02-21,24.39,4.9,2.14
2022-02-22,24.31,4.87,2.11
2022-02-23,24.32,4.87,2.11
2022-02-24,23.2,4.64,2.21
2022-02-25,23.8,4.77,2.16
2022-02-28,24.05,4.81,2.13
2022-03-02,23.89,4.78,2.15
2022-03-03,23.63,4.73,2.17
2022-03-04,23.28,4.66,2.21
2022-03-07,22.85,4.57,2.25
2022-03-08,23.22,4.65,2.18
2022-03-09,23.47,4.7,2.16
2022-03-10,23.83,4.77,2.11
2022-03-11,23.95,4.79,2.1
2022-03-14,24.07,4.82,2.09
2022-03-15,23.98,4.8,2.04
2022-03-16,24.43,4.89,2.0
2022-03-17,24.7,4.94,1.98
2022-03-21,24.32,4.87,2.01
2022-03-22,24.32,4.87,2.01
2022-03-23,24.29,4.86,1.96
2022-03-24,24.31,4.87,1.96
2022-03-25,24.15,4.83,1.97
2022-03-28,24.06,4.82,1.98
2022-03-29,24.2,4.84,1.97
