Date,P/E,P/B,Div Yield
2022-01-03,9.68,2.45,3.05
2022-01-04,9.75,2.46,3.02
2022-01-05,9.87,2.49,2.99
2022-01-06,9.8,2.47,3.01
2022-01-07,9.94,2.51,2.97
2022-01-10,10.02,2.53,2.94
2022-01-11,9.98,2.52,2.95
2022-01-12,10.14,2.56,2.91
2022-01-13,10.28,2.6,2.87
2022-01-14,10.28,2.6,2.87
2022-01-17,10.42,2.63,2.83
2022-01-18,10.21,2.58,2.89
2022-01-19,10.22,2.58,2.88
2022-01-20,10.22,2.58,2.88
2022-01-21,10.03,2.54,2.94
2022-01-24,9.65,2.44,3.05
2022-01-25,9.68,2.47,3.02
2022-01-27,9.59,2.45,3.05
2022-01-28,9.69,2.47,3.01
2022-01-31,9.74,2.48,2.99
2022-02-01,9.89,2.54,2.93
2022-02-02,9.87,2.55,2.92
2022-02-03,9.79,2.52,3.11
2022-02-04,9.82,2.53,3.08
2022-02-07,9.83,2.54,3.08
2022-02-08,9.53,2.53,3.08
2022-02-09,9.63,2.56,2.98
2022-02-10,9.71,2.58,3.0
2022-02-11,9.6,2.55,2.91
2022-02-14,9.18,2.46,3.03
2022-02-15,9.25,2.52,2.96
2022-02-16,9.18,2.51,2.96
2022-02-17,9.2,2.52,2.83
2022-02-18,9.12,2.5,2.86
2022-02-21,8.97,2.46,3.04
2022-02-22,8.91,2.44,3.07
2022-02-23,8.9,2.43,3.08
2022-02-24,8.41,2.3,3.26
2022-02-25,8.73,2.39,3.14
2022-02-28,8.94,2.44,3.06
2022-03-02,9.04,2.47,3.03
2022-03-03,9.04,2.47,3.03
2022-03-04,8.84,2.42,3.09
2022-03-07,8.83,2.41,3.1
2022-03-08,8.82,2.41,3.1
2022-03-09,8.88,2.43,3.22
2022-03-10,9.04,2.47,3.17
2022-03-11,9.09,2.48,3.15
2022-03-14,9.07,2.48,3.16
2022-03-15,8.88,2.43,3.14
2022-03-16,9.1,2.49,3.06
2022-03-17,9.27,2.53,3.01
2022-03-21,9.25,2.53,3.01
2022-03-22,9.33,2.55,2.91
2022-03-23,9.4,2.57,2.82
2022-03-24,9.49,2.59,2.8
2022-03-25,9.48,2.59,2.76
2022-03-28,9.51,2.6,2.78
2022-03-29,9.54,2.61,2.77
2022-03-30,9.47,2.59,2.82
2022-03-31,9.49,2.6,2.76
2022-04-01,9.61,2.63,2.73
2022-04-04,9.77,2.67,2.72
2022-04-05,9.86,2.7,2.7
2022-04-06,9.96,2.73,2.67
2022-04-07,9.85,2.69,2.7
2022-04-08,10.05,2.75,2.65
2022-04-11,10.17,2.78,2.61
2022-04-12,9.99,2.73,2.66
2022-04-13,10.05,2.75,2.65
2022-04-18,10.06,2.75,2.64
2022-04-19,10.01,2.74,2.66
2022-04-20,10.09,2.76,2.64
2022-04-21,10.18,2.78,2.61
2022-04-22,10.05,2.75,2.65
2022-04-25,9.79,2.68,2.72
2022-04-26,9.92,2.71,2.68
2022-04-27,9.83,2.68,2.71
2022-04-28,9.94,2.72,2.68
2022-04-29,9.84,2.69,2.71
2022-05-02,9.86,2.69,2.7
2022-05-04,9.58,2.6,2.78
2022-05-05,9.59,2.6,2.78
2022-05-06,9.42,2.56,3.11
2022-05-09,9.23,2.5,3.17
2022-05-10,8.78,2.42,3.28
2022-05-11,8.79,2.43,3.27
2022-05-12,8.53,2.36,3.37
