Date,P/E,P/B,Div Yield
2022-01-03,28.89,3.3,1.04
2022-01-04,29.01,3.31,1.04
2022-01-05,29.05,3.31,1.03
2022-01-06,29.13,3.32,1.03
2022-01-07,29.31,3.34,1.03
2022-01-10,29.57,3.37,1.02
2022-01-11,29.61,3.38,1.01
2022-01-12,29.96,3.42,1.0
2022-01-13,30.15,3.44,1.0
2022-01-14,30.13,3.44,1.0
2022-01-17,30.12,3.44,1.0
2022-01-18,29.44,3.36,1.02
2022-01-19,29.37,3.36,1.02
2022-01-20,29.27,3.35,1.02
2022-01-21,28.54,3.26,1.05
2022-01-24,27.39,3.13,1.09
2022-01-25,28.49,3.18,1.08
2022-01-27,28.36,3.15,1.09
2022-01-28,28.55,3.19,1.08
2022-01-31,28.52,3.25,1.05
2022-02-01,28.77,3.28,1.04
2022-02-02,29.12,3.31,1.04
2022-02-03,28.78,3.28,1.06
2022-02-04,28.12,3.24,1.05
2022-02-07,27.78,3.2,1.08
2022-02-08,26.99,3.19,1.07
2022-02-09,27.43,3.23,1.06
2022-02-10,27.57,3.25,1.09
2022-02-11,26.67,3.17,1.1
2022-02-14,25.45,3.05,1.14
2022-02-15,25.94,3.14,1.18
2022-02-16,25.97,3.13,1.17
2022-02-17,25.88,3.12,1.2
2022-02-18,25.65,3.09,1.21
2022-02-21,25.45,3.07,1.25
2022-02-22,25.24,3.04,1.26
2022-02-23,25.32,3.05,1.26
2022-02-24,23.76,2.86,1.35
2022-02-25,24.81,2.99,1.38
2022-02-28,25.05,3.02,1.37
2022-03-02,25.0,3.01,1.37
2022-03-03,24.8,2.99,1.38
2022-03-04,24.23,2.92,1.41
2022-03-07,23.69,2.86,1.43
2022-03-08,24.07,2.9,1.41
2022-03-09,24.61,2.97,1.38
2022-03-10,24.78,2.99,1.37
2022-03-11,24.95,3.01,1.39
2022-03-14,25.04,3.02,1.38
2022-03-15,24.83,2.99,1.39
2022-03-16,25.33,3.05,1.37
2022-03-17,25.69,3.1,1.35
2022-03-21,25.51,3.08,1.19
2022-03-22,25.62,3.09,1.18
2022-03-23,25.75,3.1,1.15
2022-03-24,25.94,3.13,1.16
2022-03-25,25.84,3.12,1.18
2022-03-28,25.71,3.1,1.18
2022-03-29,25.81,3.11,1.18
2022-03-30,26.08,3.14,1.16
2022-03-31,22.24,3.06,1.37
2022-04-01,22.58,3.1,1.35
2022-04-04,22.9,3.15,1.33
2022-04-05,23.15,3.18,1.3
2022-04-06,23.27,3.2,1.29
2022-04-07,23.13,3.18,1.3
2022-04-08,23.34,3.21,1.29
2022-04-11,23.42,3.22,1.28
2022-04-12,23.01,3.16,1.31
2022-04-13,22.98,3.16,1.31
2022-04-18,22.7,3.12,1.33
2022-04-19,22.43,3.08,1.34
2022-04-20,22.54,3.1,1.33
2022-04-21,22.79,3.13,1.32
2022-04-22,22.56,3.1,1.33
2022-04-25,22.04,3.03,1.36
2022-04-26,22.45,3.09,1.33
2022-04-27,22.24,3.06,1.35
2022-04-28,22.37,3.08,1.34
2022-04-29,22.1,3.05,1.36
2022-05-02,21.82,3.03,1.36
2022-05-04,20.88,2.93,1.4
2022-05-05,20.87,2.95,1.4
2022-05-06,20.47,2.89,1.42
2022-05-09,19.97,2.84,1.45
2022-05-10,19.29,2.79,1.48
2022-05-11,19.2,2.77,1.48
2022-05-12,18.83,2.7,1.52
2022-05-13,18.87,2.72,1.58
2022-05-16,19.15,2.76,1.55
2022-05-17,19.46,2.83,1.45
2022-05-18,19.41,2.82,1.45
2022-05-19,18.86,2.74,1.49
2022-05-20,19.09,2.8,1.46
2022-05-23,19.27,2.8,1.47
2022-05-24,18.83,2.78,1.48
2022-05-25,18.55,2.73,1.51
2022-05-26,18.79,2.77,1.49
2022-05-27,18.96,2.8,1.47
2022-05-30,19.38,2.86,1.44
2022-05-31,19.46,2.87,1.43
2022-06-01,19.48,2.88,1.43
2022-06-02,19.63,2.89,1.43
2022-06-03,19.39,2.85,1.45
2022-06-06,19.3,2.83,1.47
2022-06-07,19.16,2.81,1.48
2022-06-08,19.12,2.81,1.49
2022-06-09,19.21,2.82,1.52
2022-06-10,19.08,2.8,1.56
2022-06-13,18.5,2.72,1.61
2022-06-14,18.52,2.71,1.61
2022-06-15,18.6,2.72,1.71
2022-06-16,18.15,2.66,1.73
2022-06-17,18.05,2.64,1.68
2022-06-20,17.73,2.6,1.71
2022-06-21,18.24,2.67,1.66
2022-06-22,17.96,2.63,1.68
2022-06-23,18.19,2.66,1.66
2022-06-24,18.45,2.7,1.63
2022-06-27,18.64,2.73,1.61
2022-06-28,18.66,2.73,1.61
2022-06-29,18.56,2.72,1.62
2022-06-30,18.44,2.7,1.64
2022-07-01,18.58,2.73,1.55
2022-07-04,18.75,2.75,1.58
2022-07-05,18.7,2.74,1.64
2022-07-06,19.1,2.8,1.6
2022-07-07,19.33,2.83,1.59
2022-07-08,19.37,2.79,1.39
2022-07-11,19.43,2.8,1.38
2022-07-12,19.27,2.77,1.45
2022-07-13,19.36,2.79,1.44
2022-07-14,19.33,2.78,1.48
2022-07-15,19.5,2.81,1.46
2022-07-18,19.7,2.85,1.43
2022-07-19,19.82,2.87,1.45
2022-07-20,19.86,2.88,1.47
2022-07-21,20.15,2.92,1.45
2022-07-22,20.14,2.92,1.45
2022-07-25,20.12,2.92,1.45
2022-07-26,19.84,2.86,1.47
2022-07-27,19.82,2.88,1.46
2022-07-28,19.86,2.91,1.45
2022-07-29,20.1,2.94,1.43
2022-08-01,19.63,2.99,1.41
2022-08-02,19.35,3.0,1.45
2022-08-03,19.13,2.96,1.48
2022-08-04,19.13,2.96,1.5
2022-08-05,19.16,2.96,1.5
2022-08-08,18.86,2.91,1.54
2022-08-10,21.33,2.91,1.53
2022-08-11,21.46,2.9,1.51
2022-08-12,21.54,2.91,1.5
2022-08-16,21.64,2.94,1.46
2022-08-17,21.73,2.93,1.46
2022-08-18,21.8,2.93,1.46
2022-08-19,21.53,2.9,1.49
2022-08-22,21.08,2.84,1.64
2022-08-23,21.33,2.87,1.62
2022-08-24,21.49,2.89,1.61
2022-08-25,21.52,2.9,1.61
2022-08-26,21.63,2.91,1.6
2022-08-29,21.42,2.88,1.61
2022-08-30,21.88,2.95,1.57
2022-09-01,21.99,2.97,1.56
2022-09-02,21.96,2.96,1.53
2022-09-05,22.07,2.98,1.52
2022-09-06,22.12,2.98,1.52
2022-09-07,22.25,3.0,1.51
2022-09-08,22.28,3.01,1.5
2022-09-09,22.34,3.01,1.5
2022-09-12,22.56,3.04,1.48
2022-09-13,22.58,3.05,1.42
2022-09-14,22.49,3.03,1.41
2022-09-15,22.59,3.05,1.44
2022-09-16,21.92,2.96,1.44
2022-09-19,21.92,2.96,1.47
2022-09-20,22.2,2.99,1.47
2022-09-21,22.06,2.98,1.47
2022-09-22,22.15,2.99,1.46
2022-09-23,21.55,2.91,1.5
2022-09-26,20.9,2.82,1.55
2022-09-27,20.92,2.82,1.55
2022-09-28,20.82,2.81,1.56
2022-09-29,20.92,2.82,1.55
2022-09-30,21.71,2.5,1.54
2022-10-03,21.43,2.46,1.56
2022-10-04,22.1,2.54,1.52
2022-10-06,22.35,2.57,1.5
2022-10-07,22.3,2.56,1.5
2022-10-10,22.1,2.54,1.52
2022-10-11,21.73,2.5,1.54
2022-10-12,21.9,2.52,1.53
2022-10-13,21.7,2.49,1.54
2022-10-14,21.69,2.49,1.54
2022-10-17,21.85,2.51,1.53
2022-10-18,22.04,2.55,1.51
2022-10-19,22.0,2.55,1.51
2022-10-20,21.86,2.54,1.52
2022-10-24,21.89,2.55,1.51
2022-10-25,21.38,2.56,1.51
2022-10-27,21.55,2.58,1.5
2022-10-28,21.49,2.57,1.5
2022-10-31,21.75,2.6,1.48
2022-11-02,22.01,2.62,1.46
2022-11-03,22.09,2.63,1.45
2022-11-04,23.43,2.62,1.46
2022-11-07,23.65,2.64,1.52
