Date,P/E,P/B,Div Yield
2022-01-03,25.79,4.35,1.12
2022-01-04,25.99,4.38,1.11
2022-01-05,26.12,4.4,1.1
2022-01-06,25.94,4.37,1.11
2022-01-07,26.04,4.39,1.11
2022-01-10,26.29,4.43,1.1
2022-01-11,26.35,4.44,1.09
2022-01-12,26.58,4.48,1.08
2022-01-13,26.67,4.5,1.08
2022-01-14,26.63,4.5,1.07
2022-01-17,26.72,4.51,1.07
2022-01-18,26.29,4.45,1.09
2022-01-19,26.12,4.42,1.1
2022-01-20,25.9,4.39,1.12
2022-01-21,25.61,4.34,1.13
2022-01-24,24.81,4.21,1.16
2022-01-25,24.78,4.24,1.15
2022-01-27,24.41,4.2,1.16
2022-01-28,24.5,4.21,1.16
2022-01-31,24.77,4.27,1.14
2022-02-01,24.82,4.32,1.13
2022-02-02,25.2,4.37,1.12
2022-02-03,24.93,4.33,1.15
2022-02-04,24.8,4.31,1.15
2022-02-07,24.36,4.25,1.17
2022-02-08,24.0,4.25,1.15
2022-02-09,24.21,4.29,1.14
2022-02-10,24.16,4.32,1.14
2022-02-11,23.85,4.26,1.14
2022-02-14,22.96,4.12,1.22
2022-02-15,23.44,4.23,1.18
2022-02-16,23.4,4.23,1.2
2022-02-17,23.39,4.22,1.19
2022-02-18,23.29,4.21,1.19
2022-02-21,23.11,4.17,1.23
2022-02-22,22.95,4.14,1.2
2022-02-23,22.98,4.15,1.2
2022-02-24,21.82,3.94,1.26
2022-02-25,22.47,4.06,1.23
2022-02-28,22.67,4.09,1.22
2022-03-02,22.5,4.06,1.23
2022-03-03,22.4,4.04,1.23
2022-03-04,22.02,3.97,1.26
2022-03-07,21.5,3.88,1.28
2022-03-08,21.72,3.92,1.26
2022-03-09,22.16,4.0,1.25
2022-03-10,22.49,4.06,1.23
2022-03-11,22.56,4.07,1.23
2022-03-14,22.78,4.11,1.22
2022-03-15,22.53,4.06,1.22
2022-03-16,22.95,4.14,1.2
2022-03-17,23.33,4.21,1.18
2022-03-21,23.14,4.17,1.19
2022-03-22,23.34,4.21,1.16
2022-03-23,23.29,4.2,1.16
2022-03-24,23.3,4.2,1.16
2022-03-25,23.22,4.19,1.16
2022-03-28,23.26,4.2,1.16
2022-03-29,23.4,4.22,1.15
2022-03-30,23.61,4.26,1.14
2022-03-31,23.67,4.29,1.13
2022-04-01,23.97,4.34,1.12
2022-04-04,24.45,4.43,1.1
2022-04-05,24.46,4.43,1.1
2022-04-06,24.36,4.41,1.11
2022-04-07,24.16,4.38,1.11
2022-04-08,24.39,4.42,1.1
2022-04-11,24.36,4.41,1.1
2022-04-12,24.1,4.37,1.11
2022-04-13,24.05,4.36,1.12
2022-04-18,23.71,4.3,1.13
2022-04-19,23.29,4.24,1.15
2022-04-20,23.48,4.28,1.14
2022-04-21,23.81,4.33,1.12
2022-04-22,23.55,4.29,1.13
2022-04-25,23.15,4.23,1.15
2022-04-26,23.37,4.29,1.13
2022-04-27,23.15,4.25,1.15
2022-04-28,23.37,4.29,1.15
2022-04-29,23.15,4.26,1.14
2022-05-02,22.99,4.24,1.15
2022-05-04,22.31,4.14,1.17
2022-05-05,22.24,4.14,1.18
2022-05-06,21.85,4.06,1.23
2022-05-09,21.6,4.02,1.24
2022-05-10,21.15,3.98,1.26
2022-05-11,20.99,3.96,1.26
2022-05-12,20.53,3.87,1.36
2022-05-13,20.53,3.87,1.37
2022-05-16,20.5,3.9,1.36
2022-05-17,20.85,4.0,1.32
2022-05-18,20.83,4.0,1.32
2022-05-19,20.26,3.89,1.36
2022-05-20,20.75,3.99,1.32
2022-05-23,20.7,3.97,1.33
2022-05-24,20.51,3.95,1.34
2022-05-25,20.27,3.9,1.38
2022-05-26,20.45,3.94,1.42
2022-05-27,20.79,3.98,1.41
2022-05-30,21.21,4.06,1.38
2022-05-31,21.07,4.06,1.4
2022-06-01,21.08,4.05,1.4
2022-06-02,21.21,4.07,1.4
2022-06-03,21.07,4.04,1.39
2022-06-06,21.04,4.04,1.39
2022-06-07,20.86,4.0,1.41
2022-06-08,20.79,3.99,1.41
2022-06-09,20.92,4.01,1.42
2022-06-10,20.63,3.96,1.38
2022-06-13,20.08,3.85,1.4
2022-06-14,20.05,3.85,1.39
2022-06-15,20.04,3.84,1.46
2022-06-16,19.6,3.76,1.49
2022-06-17,19.46,3.73,1.48
2022-06-20,19.4,3.72,1.49
2022-06-21,19.83,3.8,1.46
2022-06-22,19.54,3.75,1.48
2022-06-23,19.74,3.79,1.47
2022-06-24,19.95,3.83,1.45
2022-06-27,20.14,3.86,1.44
2022-06-28,20.16,3.87,1.43
2022-06-29,20.1,3.85,1.41
2022-06-30,20.05,3.85,1.44
2022-07-01,20.06,3.85,1.43
2022-07-04,20.18,3.87,1.44
2022-07-05,20.16,3.87,1.44
2022-07-06,20.42,3.92,1.42
2022-07-07,20.62,3.96,1.42
2022-07-08,20.71,3.87,1.38
2022-07-11,20.79,3.81,1.37
2022-07-12,20.63,3.78,1.38
2022-07-13,20.55,3.77,1.39
2022-07-14,20.51,3.76,1.42
2022-07-15,20.64,3.78,1.4
2022-07-18,20.92,3.84,1.38
2022-07-19,21.02,3.86,1.38
2022-07-20,21.13,3.89,1.37
2022-07-21,21.29,3.92,1.41
2022-07-22,21.37,3.93,1.39
2022-07-25,21.23,3.92,1.38
2022-07-26,20.94,3.87,1.42
2022-07-27,20.97,3.9,1.41
