Date,P/E,P/B,Div Yield
2022-01-03,35.69,8.22,0.7
2022-01-04,35.77,8.24,0.7
2022-01-05,35.66,8.21,0.71
2022-01-06,35.69,8.22,0.7
2022-01-07,35.9,8.27,0.7
2022-01-10,36.15,8.33,0.7
2022-01-11,36.05,8.31,0.7
2022-01-12,36.31,8.36,0.69
2022-01-13,36.73,8.46,0.68
2022-01-14,36.76,8.47,0.68
2022-01-17,36.91,8.51,0.68
2022-01-18,36.13,8.33,0.7
2022-01-19,35.91,8.34,0.69
2022-01-20,36.03,8.39,0.69
2022-01-21,35.13,8.23,0.71
2022-01-24,33.42,7.84,0.75
2022-01-25,33.63,7.91,0.75
2022-01-27,32.93,7.76,0.78
2022-01-28,33.32,7.84,0.76
2022-01-31,33.66,7.94,0.75
2022-02-01,33.78,8.0,0.75
2022-02-02,34.21,8.11,0.74
2022-02-03,33.82,8.03,0.76
2022-02-04,33.79,8.02,0.76
2022-02-07,33.45,7.92,0.78
2022-02-08,32.6,7.82,0.79
2022-02-09,32.99,7.91,0.77
2022-02-10,33.33,8.0,0.77
2022-02-11,32.52,7.84,0.79
2022-02-14,30.9,7.49,0.82
2022-02-15,31.55,7.71,0.8
2022-02-16,31.6,7.71,0.8
2022-02-17,31.51,7.69,0.81
2022-02-18,31.15,7.6,0.82
2022-02-21,30.64,7.48,0.83
2022-02-22,30.43,7.43,0.84
2022-02-23,30.75,7.5,0.83
2022-02-24,28.86,7.04,0.89
2022-02-25,30.29,7.39,0.84
2022-02-28,30.72,7.48,0.83
2022-03-02,30.94,7.53,0.83
2022-03-03,31.27,7.61,0.82
2022-03-04,30.79,7.5,0.83
2022-03-07,30.22,7.36,0.85
2022-03-08,30.56,7.44,0.84
2022-03-09,31.1,7.57,0.9
2022-03-10,31.75,7.73,0.88
2022-03-11,31.91,7.77,0.87
2022-03-14,32.2,7.84,0.87
2022-03-15,31.78,7.74,0.88
2022-03-16,32.29,7.86,0.86
2022-03-17,32.77,7.98,0.85
2022-03-21,32.84,8.0,0.85
