Date,P/E,P/B,Div Yield
2022-01-03,19.45,3.55,1.82
2022-01-04,19.53,3.57,1.82
2022-01-05,19.67,3.59,1.8
2022-01-06,19.58,3.58,1.81
2022-01-07,19.67,3.59,1.8
2022-01-10,19.81,3.62,1.79
2022-01-11,19.77,3.61,1.79
2022-01-12,19.93,3.64,1.78
2022-01-13,20.04,3.66,1.77
2022-01-14,20.02,3.66,1.77
2022-01-17,20.11,3.67,1.76
2022-01-18,19.78,3.61,1.79
2022-01-19,19.73,3.6,1.8
2022-01-20,19.64,3.59,1.82
2022-01-21,19.37,3.54,1.84
2022-01-24,18.79,3.43,1.9
2022-01-25,18.9,3.47,1.88
2022-01-27,18.63,3.43,1.88
2022-01-28,18.72,3.44,1.87
2022-01-31,18.88,3.49,1.84
2022-02-01,18.84,3.54,1.82
2022-02-02,19.08,3.57,1.81
2022-02-03,18.94,3.55,1.85
2022-02-04,18.89,3.54,1.86
2022-02-07,18.58,3.5,1.88
2022-02-08,18.28,3.51,1.81
2022-02-09,18.47,3.54,1.76
2022-02-10,18.55,3.56,1.76
2022-02-11,18.52,3.52,1.76
2022-02-14,17.82,3.4,1.84
2022-02-15,18.13,3.49,1.76
2022-02-16,18.06,3.49,1.79
2022-02-17,18.05,3.48,1.78
2022-02-18,17.94,3.46,1.79
2022-02-21,17.76,3.43,1.88
2022-02-22,17.69,3.41,1.87
2022-02-23,17.75,3.42,1.86
2022-02-24,16.78,3.24,1.97
2022-02-25,17.34,3.34,1.91
2022-02-28,17.51,3.37,1.89
2022-03-02,17.44,3.36,1.89
2022-03-03,17.36,3.34,1.9
2022-03-04,17.02,3.28,1.94
2022-03-07,16.66,3.21,1.98
2022-03-08,16.85,3.25,1.95
2022-03-09,17.09,3.29,1.96
2022-03-10,17.38,3.35,1.92
2022-03-11,17.47,3.37,1.91
2022-03-14,17.5,3.37,1.9
2022-03-15,17.34,3.34,1.89
2022-03-16,17.68,3.41,1.85
2022-03-17,17.96,3.46,1.82
2022-03-21,17.74,3.42,1.88
2022-03-22,17.83,3.44,1.79
2022-03-23,17.85,3.44,1.76
2022-03-24,17.88,3.44,1.76
2022-03-25,17.82,3.43,1.75
2022-03-28,17.82,3.43,1.77
2022-03-29,17.91,3.45,1.77
2022-03-30,17.99,3.47,1.76
2022-03-31,20.7,4.01,1.58
2022-04-01,21.02,4.07,1.56
2022-04-04,21.36,4.13,1.56
2022-04-05,21.45,4.15,1.56
2022-04-06,21.46,4.15,1.56
2022-04-07,21.37,4.13,1.57
2022-04-08,21.62,4.18,1.53
2022-04-11,21.69,4.2,1.53
2022-04-12,21.44,4.15,1.54
2022-04-13,21.44,4.15,1.54
2022-04-18,21.31,4.12,1.55
2022-04-19,20.96,4.06,1.58
2022-04-20,21.12,4.09,1.56
2022-04-21,21.41,4.14,1.55
2022-04-22,21.19,4.1,1.55
2022-04-25,20.74,4.02,1.6
2022-04-26,21.1,4.1,1.57
2022-04-27,20.85,4.04,1.59
2022-04-28,21.1,4.09,1.58
2022-04-29,20.85,4.04,1.58
2022-05-02,20.77,4.03,1.59
2022-05-04,20.19,3.93,1.63
2022-05-05,20.12,3.92,1.65
2022-05-06,19.75,3.85,1.75
2022-05-09,19.52,3.8,1.78
2022-05-10,19.14,3.76,1.8
2022-05-11,19.04,3.74,1.79
2022-05-12,18.6,3.66,1.85
2022-05-13,18.61,3.66,1.9
2022-05-16,18.68,3.7,1.88
2022-05-17,18.74,3.78,1.84
2022-05-18,18.74,3.78,1.84
2022-05-19,18.3,3.69,1.89
2022-05-20,18.79,3.76,1.85
2022-05-23,18.71,3.74,1.86
2022-05-24,18.6,3.71,1.87
2022-05-25,18.34,3.66,1.91
2022-05-26,18.63,3.71,1.92
2022-05-27,19.18,3.74,1.9
2022-05-30,19.6,3.82,1.86
2022-05-31,19.52,3.83,1.86
2022-06-01,19.44,3.8,1.88
2022-06-02,19.49,3.81,1.87
2022-06-03,19.22,3.77,1.89
2022-06-06,19.18,3.76,1.9
2022-06-07,19.02,3.73,1.91
2022-06-08,18.99,3.72,1.92
2022-06-09,19.11,3.74,1.94
2022-06-10,18.95,3.71,1.92
2022-06-13,18.52,3.63,1.96
2022-06-14,18.53,3.63,1.96
2022-06-15,18.56,3.64,2.01
2022-06-16,18.15,3.56,2.05
2022-06-17,17.9,3.51,2.08
2022-06-20,17.84,3.49,2.1
2022-06-21,18.25,3.57,2.05
2022-06-22,17.96,3.52,2.11
2022-06-23,18.2,3.57,2.08
2022-06-24,18.41,3.61,2.05
2022-06-27,18.56,3.64,2.03
2022-06-28,18.58,3.64,2.03
2022-06-29,18.46,3.62,2.02
2022-06-30,16.61,3.38,2.3
2022-07-01,16.76,3.41,2.27
2022-07-04,16.86,3.43,2.29
2022-07-05,16.86,3.43,2.28
2022-07-06,17.11,3.49,2.23
2022-07-07,17.29,3.52,2.21
2022-07-08,17.33,3.5,2.16
2022-07-11,17.44,3.42,2.15
2022-07-12,17.32,3.4,2.16
2022-07-13,17.33,3.4,2.16
2022-07-14,17.26,3.39,2.21
2022-07-15,17.37,3.41,2.19
2022-07-18,17.61,3.45,2.16
2022-07-19,17.67,3.46,2.16
2022-07-20,17.75,3.48,2.15
2022-07-21,17.95,3.52,2.17
2022-07-22,17.95,3.52,2.15
2022-07-25,17.88,3.51,2.13
2022-07-26,17.71,3.46,2.24
2022-07-27,17.9,3.49,2.23
2022-07-28,18.11,3.54,2.22
2022-07-29,18.34,3.59,2.18
2022-08-01,18.57,3.63,2.16
2022-08-02,18.71,3.64,2.16
2022-08-03,18.64,3.64,2.17
2022-08-04,18.7,3.65,2.17
2022-08-05,18.65,3.65,2.15
2022-08-08,19.62,3.81,2.06
2022-08-10,20.02,3.81,2.07
2022-08-11,20.2,3.79,2.14
2022-08-12,20.01,3.69,2.13
2022-08-16,20.59,3.74,2.1
2022-08-17,20.68,3.78,2.08
2022-08-18,20.71,3.74,2.1
2022-08-19,20.46,3.69,2.16
2022-08-22,20.11,3.63,2.2
2022-08-23,20.25,3.65,2.18
2022-08-24,20.3,3.66,2.17
2022-08-25,20.29,3.66,2.17
2022-08-26,20.37,3.68,2.17
2022-08-29,20.16,3.64,2.19
2022-08-30,20.58,3.67,2.14
2022-09-01,20.52,3.66,2.15
2022-09-02,20.44,3.64,2.14
2022-09-05,20.47,3.65,2.14
2022-09-06,20.52,3.66,2.13
2022-09-07,20.59,3.67,2.13
2022-09-08,20.71,3.69,2.0
2022-09-09,20.74,3.7,1.99
2022-09-12,20.92,3.73,1.98
2022-09-13,21.05,3.75,1.96
2022-09-14,21.08,3.76,1.96
2022-09-15,21.03,3.75,1.97
2022-09-16,20.51,3.66,1.85
2022-09-19,20.58,3.67,1.84
2022-09-20,20.83,3.71,1.8
2022-09-21,20.6,3.67,1.82
2022-09-22,20.6,3.67,1.84
2022-09-23,20.24,3.61,1.87
2022-09-26,19.76,3.52,1.91
2022-09-27,19.82,3.53,1.91
2022-09-28,19.7,3.51,1.9
2022-09-29,19.7,3.51,1.9
2022-09-30,20.48,4.04,1.81
2022-10-03,20.19,3.98,1.84
2022-10-04,20.62,4.07,1.8
2022-10-06,20.73,4.09,1.79
2022-10-07,20.72,4.09,1.79
2022-10-10,20.6,4.06,1.8
2022-10-11,20.24,3.99,1.83
