Ticker,VAP_BV,VAP_SALES,VAP_GRAHAM,VAP_EARNINGS,LTP
AJANTPHARM.NS,525.85,453.28,551.54,769.28,1229.9
YESBANK.NS,26.31,5.07,10.71,5.6,15.2
SCHAEFFLER.NS,492.2,656.66,594.19,914.24,2753.6
JKCEMENT.NS,1048.92,1811.43,937.79,1079.68,2837.9
LAURUSLABS.NS,127.81,171.62,162.91,269.6,303.2
LODHA.NS,443.07,309.03,178.06,93.92,846.75
NATIONALUM.NS,126.57,122.13,128.08,165.76,77.35
SUMICHEM.NS,81.36,107.4,99.02,156.64,430.3
SAIL.NS,249.24,402.42,276.67,414.72,85.85
BLUEDART.NS,782.8,3247.79,1343.59,2962.24,6105.85
PATANJALI.NS,456.44,1225.62,383.89,405.28,882.45
AWL.NS,113.19,702.17,85.31,84.8,421.3
LALPATHLAB.NS,338.76,366.84,353.86,476.8,1829.3
CROMPTON.NS,71.85,156.11,87.78,137.28,291.4
TITAN.NS,210.21,651.48,299.71,554.56,2519.05
OIL.NS,633.33,575.04,759.9,1198.24,256.85
ADANIPORTS.NS,371.9,128.42,322.73,368.48,654.95
BAJAJFINSV.NS,500.43,744.23,464.32,573.6,1290.0
BAJFINANCE.NS,1480.89,617.04,1798.96,2892.48,5833.05
HDFC.NS,1842.92,896.46,1769.49,2191.2,2569.85
SBIN.NS,953.95,528.61,674.34,1387.53,512.75
ULTRACEMCO.NS,3228.65,3147.85,2886.04,3317.76,7407.95
TATASTEEL.NS,162.78,314.7,213.19,367.2,104.9
HEROMOTOCO.NS,1513.35,2586.68,1545.97,2069.12,2362.5
SBILIFE.NS,228.04,1207.18,217.95,268.64,1118.65
HCLTECH.NS,5.21,6.94,58.3,848.16,1065.9
TECHM.NS,545.18,792.87,632.45,936.16,1099.45
UPL.NS,608.31,1075.3,625.34,837.44,709.7
INDUSINDBK.NS,1190.16,356.86,1141.57,1411.68,1018.25
SUNPHARMA.NS,399.04,266.15,296.57,283.36,977.65
EICHERMOT.NS,882.72,709.46,1014.79,1508.32,2927.7
NTPC.NS,266.34,264.55,242.58,286.88,174.6
CIPLA.NS,376.96,408.67,363.37,443.34,869.1
NESTLEIND.NS,505.83,3406.87,1027.29,6046.51,19044.4
AXISBANK.NS,799.92,251.12,813.85,1072.32,848.8
ASIANPAINT.NS,264.5,523.93,354.84,608.96,2797.8
TATAMOTORS.NS,317.0,1462.15,NA,0.0,419.15
DRREDDY.NS,1835.9,2137.96,1713.48,2045.2,4446.95
ONGC.NS,410.51,739.35,423.45,574.88,152.8
TCS.NS,422.57,892.76,675.09,1387.36,3124.65
BAJAJ-AUTO.NS,1655.55,1964.21,2053.51,3295.04,3862.95
POWERGRID.NS,211.57,94.4,240.48,349.12,222.15
GRASIM.NS,2110.01,2483.43,1774.13,1920.8,1605.95
JSWSTEEL.NS,469.55,1043.44,296.43,242.08,667.8
INFY.NS,3.86,6.43,52.77,921.12,1374.55
LT.NS,1064.87,1958.57,967.73,1143.68,2206.65
KOTAKBANK.NS,1248.07,517.63,914.58,1923.48,1679.7
MARUTI.NS,3333.87,5644.05,3160.36,3877.44,8353.2
APOLLOHOSP.NS,747.47,1582.61,736.5,925.28,4273.05
ICICIBANK.NS,530.97,245.35,549.49,732.32,855.45
HINDUNILVR.NS,380.7,377.67,442.41,658.88,2485.1
ITC.NS,127.77,113.12,132.33,396.63,380.65
COALINDIA.NS,168.43,316.86,306.68,731.04,213.35
BRITANNIA.NS,205.42,1323.78,405.15,2324.7,4242.7
WIPRO.NS,180.75,242.08,207.52,305.12,361.5
DIVISLAB.NS,563.75,470.85,704.97,1127.34,2803.1
HDFCLIFE.NS,77.63,476.32,74.04,91.7,498.55
HINDALCO.NS,495.06,1533.85,245.58,159.95,398.8
BPCL.NS,368.84,3265.78,305.78,326.34,348.35
ADANIENT.NS,283.26,1661.11,153.31,109.1,1794.0
TATACONSUM.NS,370.56,289.82,164.78,212.73,707.15
