Ticker,VAP_BV,VAP_SALES,VAP_GRAHAM,VAP_EARNINGS,LTP
RADICO.NS,379.47,468.45,247.68,467.1,1196.9
SAPPHIRE.NS,306.49,524.34,275.82,320.64,1188.5
AMARAJABAT.NS,533.75,903.63,498.28,604.48,572.3
EIDPARRY.NS,605.81,3029.06,635.94,889.12,484.65
IRB.NS,39.5,15.7,24.8,20.32,24.8
BORORENEW.NS,117.84,89.73,107.15,126.88,437.3
HFCL.NS,39.42,50.16,31.51,33.12,62.2
CENTURYTEX.NS,616.65,656.61,369.8,287.84,630.35
IIFL.NS,400.71,202.03,426.94,589.12,429.65
BDL.NS,309.82,252.89,308.72,396.8,905.35
MAZDOCK.NS,397.05,549.62,469.47,734.4,659.55
METROPOLIS.NS,344.48,351.59,340.45,440.96,1230.55
UTIAMC.NS,562.56,155.8,470.96,531.36,690.7
HINDCOPPER.NS,37.92,26.36,34.05,40.0,98.6
MAHLIFE.NS,218.86,51.22,199.23,239.2,340.45
AARTIDRUGS.NS,210.87,421.47,225.11,300.64,373.7
TEAMLEASE.NS,789.91,6737.5,805.26,1045.76,2290.75
CENTURYPLY.NS,144.81,252.9,162.54,244.16,475.45
ORIENTELEC.NS,46.48,187.74,51.88,75.04,270.35
EPL.NS,104.44,169.02,89.18,97.6,155.5
RATNAMANI.NS,612.1,849.68,678.87,969.44,2084.55
MHRIL.NS,30.01,177.09,37.11,59.36,264.45
JAMNAAUTO.NS,32.67,87.44,41.98,69.12,99.1
BLUESTARCO.NS,199.93,1204.93,204.88,274.24,1453.95
CHOLAHLDNG.NS,686.94,1005.27,706.35,967.04,549.55
KALYANKJIL.NS,58.5,200.54,54.59,66.08,117.65
ECLERX.NS,652.24,803.48,849.44,1460.96,1355.2
GREENPANEL.NS,165.45,226.02,208.38,343.2,275.75
NOCIL.NS,169.47,155.9,152.0,179.36,209.95
MOTILALOFS.NS,724.4,372.93,805.09,1139.52,559.4
TEJASNET.NS,322.06,68.18,NA,0.0,590.45
TIMKEN.NS,442.48,529.11,557.07,891.2,2765.5
TRITURBINE.NS,50.34,53.39,58.17,87.36,314.65
CSBBANK.NS,308.9,142.12,343.02,502.4,245.4
ASAHIINDIA.NS,148.11,249.04,174.02,271.84,468.2
SWSOLAR.NS,33.52,239.38,NA,0.0,311.2
CEATLTD.NS,1470.92,4133.97,586.95,303.68,1405.55
MTARTECH.NS,334.16,236.06,347.67,471.04,1642.95
ROSSARI.NS,285.37,466.95,257.95,303.52,597.7
HEG.NS,1934.8,996.51,1852.4,2309.92,956.65
TCIEXP.NS,273.0,470.11,348.11,565.28,1463.6
ITI.NS,44.19,25.73,22.13,13.12,87.65
SHYAMMETL.NS,473.06,726.18,478.92,627.84,275.95
RALLIS.NS,166.02,230.58,122.6,117.28,198.3
GODFRYPHLP.NS,1104.84,1026.8,1226.35,1776.48,1841.4
GODREJAGRO.NS,207.23,733.93,226.68,320.8,411.0
HLEGLAS.NS,67.62,196.87,91.98,162.72,510.55
TCNSBRANDS.NS,181.69,286.78,38.81,10.72,451.2
TCI.NS,381.86,753.54,429.28,645.6,627.95
PRSMJOHNSN.NS,44.39,207.08,NA,0.0,106.3
NUVOCO.NS,433.89,441.57,NA,0.0,332.65
360ONE.NS,153.43,88.03,190.78,302.72,429.6
GARFIBRES.NS,915.93,963.77,944.64,1263.84,2788.5
LAXMIMACH.NS,3698.39,6400.1,3974.07,5641.44,10581.5
CCL.NS,181.8,217.95,201.01,284.96,556.5
VIJAYA.NS,89.87,67.83,93.79,127.36,388.45
JYOTHYLAB.NS,72.73,99.81,73.01,95.04,188.3
KRBL.NS,346.91,334.27,340.93,447.04,356.55
PCBL.NS,138.38,226.09,139.75,183.04,114.55
SUPRAJIT.NS,152.85,281.03,147.15,183.52,354.1
IOB.NS,22.7,6.66,16.96,16.64,22.95
HGS.NS,2982.19,1027.2,1544.52,1047.04,1027.2
UCOBANK.NS,38.61,8.82,24.33,20.0,24.45
GESHIP.NS,1115.63,521.27,1310.93,1910.24,601.2
KALPATPOWR.NS,519.17,1472.5,406.13,412.96,559.55
SHILPAMED.NS,374.97,195.93,55.02,10.4,241.65
INOXLEISUR.NS,104.8,219.96,NA,0.0,508.85
KIMS.NS,350.3,371.18,412.2,617.12,1321.4
FDC.NS,204.05,152.5,165.03,170.4,256.2
PGHL.NS,794.51,1054.59,1185.88,2258.56,4886.25
PRINCEPIPE.NS,204.52,393.01,160.51,164.16,573.8
JMFINANCIL.NS,153.49,36.05,120.71,123.84,62.25
GAEL.NS,184.99,319.04,199.14,282.88,244.6
CERA.NS,1473.23,1993.71,1686.68,2497.28,6326.7
CGCL.NS,209.25,59.21,152.14,141.76,571.95
IFBIND.NS,306.0,1546.56,NA,0.0,793.9
HOMEFIRST.NS,346.07,73.06,333.22,410.72,692.15
VAIBHAVGBL.NS,127.66,249.23,100.29,102.08,295.75
NCC.NS,171.81,345.49,148.47,169.6,105.95
