"TITAN","2,320.10","2,470.00","2,320.10","2,308.10","2,458.30","150.20","6.51",3693638,"8,958,327,986.92","2,791.00","1,825.05","-0.33","-3.86"
"BANKBARODA","157.00","164.35","151.75","154.05","163.80","9.75","6.33",72557245,"11,529,346,230.50","197.20","89.85","53.54","-11.11"
"ADANIPORTS","459.00","507.00","395.10","462.45","488.40","25.95","5.61",89662866,"40,127,719,049.64","987.85","395.10","-31.38","-39.13"
"AMBUJACEM","351.95","380.70","318.50","352.55","372.15","19.60","5.56",58296804,"20,351,414,276.40","598.00","274.00","-1.79","-28.80"
"BAJAJFINSV","1,305.00","1,340.80","1,281.30","1,271.90","1,335.00","63.10","4.96",3271913,"4,301,682,178.49","1,844.00","1,072.72","-91.75","-8.95"
"BAJFINANCE","5,770.00","6,030.00","5,747.05","5,717.65","6,000.00","282.35","4.94",1486892,"8,775,562,239.40","7,778.00","5,220.00","-15.98","-1.41"
"ACC","1,845.00","1,939.25","1,695.90","1,841.25","1,920.00","78.75","4.28",4096049,"7,449,689,118.75","2,785.00","1,695.90","-15.30","-21.04"
"SIEMENS","2,934.95","3,049.00","2,920.30","2,925.50","3,034.45","108.95","3.72",583975,"1,752,030,115.50","3,138.50","2,150.10","24.97","4.58"
"HDFCBANK","1,611.00","1,660.50","1,607.00","1,603.35","1,658.25","54.90","3.42",7205550,"11,831,224,878.00","1,722.10","1,271.60","8.85","3.69"
"BERGEPAINT","530.00","560.85","527.15","540.60","558.85","18.25","3.38",2209596,"1,215,366,183.84","748.80","527.15","-24.06","-2.57"
"SBIN","536.00","545.95","519.15","528.10","545.70","17.60","3.33",32317232,"17,296,828,911.04","629.55","425.00","2.62","-10.06"
"HDFC","2,615.00","2,698.00","2,609.95","2,613.30","2,696.05","82.75","3.17",4067801,"10,834,954,065.59","2,933.80","2,026.00","7.65","2.79"
"EICHERMOT","3,233.40","3,325.00","3,199.55","3,217.30","3,309.00","91.70","2.85",500037,"1,630,955,681.79","3,889.65","2,159.55","26.04","1.81"
"INDUSINDBK","1,110.00","1,131.00","1,079.00","1,075.90","1,106.05","30.15","2.80",9207051,"10,163,019,105.33","1,275.80","763.20","15.43","-9.24"
"M&M","1,359.20","1,391.95","1,350.55","1,352.40","1,390.00","37.60","2.78",1803085,"2,470,100,234.05","1,391.95","671.15","64.90","10.81"
